"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 11, 2015","1,654.67","1,643.18","1,680.14","1,643.06","7.80K","0.76%"
"Sep 10, 2015","1,642.16","1,643.25","1,655.15","1,641.08","8.65K","-0.92%"
"Sep 09, 2015","1,657.34","1,640.74","1,658.06","1,639.27","6.91K","3.01%"
"Sep 08, 2015","1,608.98","1,623.41","1,628.59","1,603.02","4.29K","-0.32%"
"Sep 07, 2015","1,614.15","1,631.83","1,635.50","1,609.88","4.20K","-1.16%"
"Sep 04, 2015","1,633.03","1,677.14","1,680.95","1,624.14","6.72K","-1.78%"
"Sep 03, 2015","1,662.59","1,655.16","1,667.71","1,650.70","8.25K","1.87%"
"Sep 02, 2015","1,632.05","1,601.67","1,636.65","1,592.59","7.39K","-0.09%"
"Sep 01, 2015","1,633.49","1,654.99","1,661.22","1,633.49","9.56K","-1.91%"
"Aug 31, 2015","1,665.26","1,668.88","1,672.51","1,647.72","8.10K","-0.52%"
"Aug 28, 2015","1,673.98","1,668.87","1,686.23","1,668.87","12.04K","1.92%"
"Aug 27, 2015","1,642.45","1,649.41","1,660.48","1,632.55","12.93K","1.58%"
"Aug 26, 2015","1,616.83","1,597.27","1,622.81","1,586.07","13.55K","1.22%"
"Aug 25, 2015","1,597.34","1,540.43","1,609.26","1,517.58","20.59K","5.10%"
"Aug 24, 2015","1,519.90","1,551.22","1,586.23","1,503.28","15.12K","-3.30%"
"Aug 21, 2015","1,571.74","1,570.27","1,593.05","1,554.53","14.77K","-4.05%"
"Aug 20, 2015","1,638.01","1,661.62","1,677.86","1,636.21","8.89K","-1.56%"
"Aug 19, 2015","1,663.98","1,704.63","1,707.43","1,646.52","15.27K","-2.37%"
"Aug 18, 2015","1,704.32","1,727.84","1,736.73","1,686.85","10.35K","-0.47%"
"Aug 17, 2015","1,712.37","1,760.70","1,761.09","1,712.37","8.32K","-2.33%"
"Aug 13, 2015","1,753.24","1,724.34","1,753.24","1,716.15","9.13K","1.66%"
